fid,shapeName,shapeiso,shapeid,shapegroup,shapetype,total_building_area,total_flooded_building_area,flooded_building_count,total_num_buildings,percentage_flooded,flooded_grid_length,total_grid_length,percentage_grid_flooded,_merge,relative_wealth_index,_merge2,flooded_road_length,total_roads_length,percentage_flooded_roads,_merge3,gdp_ppp,_merge4,flooded_cropland,cropland_not-affected,flooded_builtup,cropland,builtup,_merge5,flooded_total_dependency_2024,flooded_elderly_dependency_2024,flooded_child_dependency_2024,flooded_rate_below_5_2024,flooded_rate_above_65_2024,flooded_female_pop_2024,flooded_male_pop_2024,flooded_pop_2024,flooded_pop_2024_perc,flooded_child_pop_2024,flooded_active_pop_2024,flooded_elderly_pop_2024,female_pop_2024,male_pop_2024,pop_2024,_merge6,_merge7
39,Barlekha,,5055444B82170766050132,BGD,ADM3,5602964,23292.074,574,66523,0.86299998,5980,39500,15.1,Matched (3),0.014850511,Matched (3),13100,185640,7.0599999,Matched (3),663686400,Matched (3),220172.78,139126.97,843.35858,359299.75,127324.26,Matched (3),52.824245,7.6263885,45.197857,9.6919003,4.9910703,11730.671,11423.419,23154.09,8.80,6845.4434,15152.329,1156.3179,133415.69,129569.39,262985.09,Matched (3),Matched (3)
18,Nabiganj,,5055444B95626234950113,BGD,ADM3,5127545.5,17850.18,464,66377,0.699,25780,99860,25.799999,Matched (3),-0.069096659,Matched (3),29760,392780,7.5799999,Matched (3),645913024,Matched (3),292690.28,560330.60,525.99475,853020.88,134410,Matched (3),60.091419,8.428236,51.663181,11.400963,5.2641258,11660.735,11264.971,22925.705,7.65,7372.8081,14346.09,1206.808,152609.97,147048.13,299658.09,Matched (3),Matched (3)
65,Daudkandi,,5055444B33374130329407,BGD,ADM3,6784067,11037.904,222,134833,0.16500001,7240,53200,13.6,Matched (3),0.267783493,Matched (3),8080,546540,1.48,Matched (3),768874432,Matched (3),26460.543,269370.52,185.2001,295831.06,152883.67,Matched (3),56.990734,9.1401939,47.85054,9.7738085,5.822154,10057.717,9151.2344,19208.951,6.19,5854.6919,12235.977,1118.2823,162547.86,147864.45,310412.31,Matched (3),Matched (3)
38,Muradnagar,,5055444B46038543043233,BGD,ADM3,10111752,11633.864,409,236087,0.17299999,3520,83480,4.1999998,Matched (3),0.125997499,Matched (3),13020,935600,1.39,Matched (3),1236597376,Matched (3),63516.953,461570.61,528.5672,525087.56,264287.88,Matched (3),57.024113,9.1394043,47.884708,9.7798376,5.8203945,9966.5635,9066.4941,19033.057,3.94,5804.4141,12120.873,1107.7706,252864.42,230041.98,482906.41,Matched (3),Matched (3)
85,Pekua,,5055444B9589532337582,BGD,ADM3,3461397.3,193497.38,5102,58995,8.6479998,2520,15260,16.5,Matched (3),-0.081091688,Matched (3),23000,221540,10.38,Matched (3),690890816,Matched (3),72373.094,93614.91,436,165988,84275.773,Matched (3),61.794834,5.7176666,56.077168,11.557531,3.5338995,8496.499,8928.6836,17425.182,9.83,6039.4688,10769.925,615.78845,86450.055,90825.195,177275.25,Matched (3),Matched (3)
29,Sonagazi,,5055444B14188015816574,BGD,ADM3,5411055,16160.816,272,76038,0.35800001,2840,29620,9.6000004,Matched (3),0.165094632,Matched (3),14260,372360,3.8299999,Matched (3),511227040,Matched (3),75460.719,117817.59,2029.6531,193278.31,112990.35,Matched (3),51.869022,9.0106878,42.858334,9.0083685,5.9352283,8810.6016,8155.0918,16965.693,6.64,4760.9077,11195.362,1009.4228,132656.64,122840.45,255497.09,Matched (3),Matched (3)
78,Chauddagram,,5055444B9070330767349,BGD,ADM3,9874068,31858.682,735,165172,0.44499999,15500,64260,24.1,Matched (3),0.118470019,Matched (3),62920,1007420,6.25,Matched (3),840859712,Matched (3),223592.72,168190.06,2726.4695,391782.78,223969.88,Matched (3),57.018963,9.1394758,47.879486,9.7785378,5.8206191,7821.0508,7114.6421,14935.692,3.99,4554.3115,9512.0313,869.34979,196155.28,178438.25,374593.53,Matched (3),Matched (3)
61,Daganbhuiyan,,5055444B99414305730014,BGD,ADM3,4792209.5,4950.1187,117,66673,0.175,4900,40960,12,Matched (3),0.176826266,Matched (3),7640,301780,2.53,Matched (3),485043264,Matched (3),59327.613,71710.16,1440.6964,131037.77,92070.688,Matched (3),51.182289,9.0236301,42.158657,8.8928967,5.9687309,7625.6392,7064.1396,14689.778,6.51,4097.8315,9715.2383,876.70807,117154.63,108510.16,225664.8,Matched (3),Matched (3)
15,Chandina,,5055444B69698146690678,BGD,ADM3,6858523.5,4727.4858,222,152145,0.146,3180,40220,7.9000001,Matched (3),0.195895707,Matched (3),6680,633280,1.05,Matched (3),843637312,Matched (3),40982.148,233849.38,256,274831.53,168237.7,Matched (3),57.018963,9.1394758,47.879486,9.7785378,5.8206191,7441.8198,6769.6636,14211.483,4.16,4333.48,9050.8076,827.19635,179029.11,162847.64,341876.75,Matched (3),Matched (3)
77,Chakaria,,5055444B84996258897066,BGD,ADM3,9765840,662098.31,21236,177098,11.991,5620,91160,6.1999998,Matched (3),-5.19E+305,Matched (3),82400,724120,11.38,Matched (3),1792187264,Matched (3),80364.789,318534.27,372,398899.06,220704.19,Matched (3),61.743916,5.7155967,56.02832,11.555537,3.5337236,6835.3203,7192.6123,14027.933,3.16,4852.0034,8680.2822,495.64621,216230.22,227324.42,443554.63,Matched (3),Matched (3)
