Upazila,Affected Population (count),Affected population (%),Affected female population (count),Affected male population (count),Affected children below 5 population (%),Affected people above 65 population (%),Affected child population (count),Affected adult population (count),Affected elderly population (count),Affected total dependency (%),Affected elderly dependency (%),Affected child dependency (%)
Ukhia,1134.2781,0.53,553.07269,581.20544,11.56,3.53,393.13434,701.05957,40.084248,61.794834,5.7176666,56.077168
Hathazari,1112.3636,0.28,550.31219,562.05145,8.39,4.14,293.99548,772.28827,46.079838,44.034767,5.9666629,38.068104
Ramu,919.44897,0.33,448.32227,471.12674,11.56,3.53,318.67578,568.28082,32.492405,61.794834,5.7176666,56.077168
Raozan,908.58862,0.30,449.49997,459.08868,8.39,4.14,240.13817,630.81207,37.638428,44.034763,5.9666629,38.0681
Pahartali,702.52765,0.43,347.55679,354.97086,8.39,4.14,185.67665,487.74869,29.10232,44.034763,5.9666629,38.0681
Chunarughat,497.96002,0.18,253.87564,244.08438,11.41,5.29,160.45067,311.14642,26.362944,60.040417,8.4728413,51.567574
Bakalia,389.18372,0.38,192.53824,196.64546,8.39,4.14,102.86048,270.20123,16.121998,44.034763,5.9666629,38.0681
Chittagong Port,340.21786,0.25,168.31369,171.90416,8.39,4.14,89.9189,236.20538,14.093578,44.034763,5.9666629,38.0681
Double Mooring,312.63251,0.14,154.66658,157.96593,8.39,4.14,82.628151,217.0535,12.95085,44.034763,5.9666629,38.0681
Dighinala,237.24294,0.24,115.51151,121.73142,9.60,4.95,70.529686,154.97081,11.742417,53.088776,7.5771799,45.511593
Boalkhali,211.9283,0.18,104.84586,107.08244,8.39,4.14,56.01223,147.1369,8.7791634,44.034763,5.9666629,38.0681
Khulshi,204.46997,0.06,101.15605,103.31392,8.39,4.14,54.041004,141.95876,8.4702005,44.034767,5.9666629,38.068104
Lohagara,29.081062,0.01,14.387078,14.693984,8.39,4.14,7.6860662,20.190308,1.2046876,44.034763,5.9666629,38.0681
Kotwali,25.799038,0.01,12.763384,13.035654,8.39,4.14,6.818635,17.911674,1.0687293,44.034767,5.9666629,38.068108
Panchhari,8.6639709,0.02,4.2184114,4.44556,9.60,4.95,2.5757027,5.6594424,0.42882615,53.088779,7.5771799,45.511597
Khagrachhari Sadar,2.1788702,0.00,1.0608728,1.1179974,9.60,4.95,0.64775389,1.4232724,0.10784391,53.088772,7.5771794,45.511593
Matiranga,0,0.00,0,0,0.00,0.00,0,0,0,0,0,0
Panchlaish,0,0.00,0,0,0.00,0.00,0,0,0,0,0,0
Halishahar,0,0.00,0,0,0.00,0.00,0,0,0,0,0,0
Lakshmichhari,0,0.00,0,0,0.00,0.00,0,0,0,0,0,0
Manikchhari,0,0.00,0,0,0.00,0.00,0,0,0,0,0,0
Kawkhali (Betbunia),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
